Name,Affiliation,Abilities,Transformation/Alternate Mode,Image URL,Description,Quote
Scavenger,Decepticon,"Strength, Excavation, Combat skills",Excavator,https://tfwiki.net/mediawiki/images2/d/d8/ScavengerG1.jpg,Scavenger is a Decepticon who transforms into an excavator. He is often used for digging and tunneling but is also a fierce fighter in combat. Scavenger enjoys the chaos of battle and often uses his heavy machinery to wreak havoc on his enemies.,Let's dig up some trouble!
Wheeljack,Autobot,"Engineering, Technology",Sports Car,https://tfwiki.net/mediawiki/images2/e/e7/Wheeljack-Cyberverse-Boulder-model.jpg,"Wheeljack is the Autobots' resident engineer and inventor. His passion for creating new technology often results in explosive (and sometimes disastrous) experiments. Nevertheless, his innovations have helped turn the tide in many battles.",Never a dull moment with science!
Long Haul,Decepticon,"Strength, Heavy load, Combat skills",Dump Truck,https://tfwiki.net/mediawiki/images2/7/73/Long_Haul_ROTF_render.jpg,"Long Haul is a Decepticon who transforms into a dump truck. He is known for his incredible strength and ability to carry heavy loads, often serving as the backbone of the Decepticon forces. Long Haul's loyalty to the Decepticon cause is unwavering, though he can sometimes feel overworked.","I may be a load lifter, but I'm no pushover!"
Tidal Wave,Decepticon,"Naval warfare, Combat skills, Water manipulation",Aircraft Carrier,https://tfwiki.net/mediawiki/images2/7/7c/ArmTVTidalWave.jpg,"Tidal Wave is a massive Decepticon who transforms into an aircraft carrier. He is a powerful warrior capable of naval warfare, commanding respect on the battlefield. Tidal Wave's immense size and strength make him a formidable opponent, and he is always ready to defend the Decepticon cause.",Prepare for tidal destruction!
Kup,Autobot,"Experience, Combat skills, Mentorship",Pickup Truck,https://tfwiki.net/mediawiki/images2/6/6e/Kup-Cyberverse-Boulder-robot_mode.jpg,"Kup is a grizzled veteran of countless battles. As an elder Autobot, he serves as both a warrior and a mentor, sharing war stories and advice with the younger members of the team. His experience is invaluable, and he remains fearless in the face of danger.",Let me tell you about the time…
Ratchet,Autobot,"Medical Expertise, Engineering",Ambulance,https://tfwiki.net/mediawiki/images2/5/5e/Movie_Ratchet_promorender.jpg,"Ratchet is the chief medical officer of the Autobots. His primary role is to repair and maintain his fellow Autobots after combat. While he prefers to avoid fighting, his technical expertise makes him indispensable in both the workshop and the battlefield.","You break it, I fix it!"
Mixmaster,Decepticon,"Chemistry, Combat skills, Destruction",Concrete Mixer,https://tfwiki.net/mediawiki/images2/2/2b/ROTF_Mixmaster_concept_art.jpg,"Mixmaster is a Decepticon who transforms into a concrete mixer. He has a deep understanding of chemistry and often uses this knowledge to create destructive concoctions. Mixmaster is known for his unpredictable nature and love for causing chaos, making him a dangerous opponent.",Time to mix it up and cause some mayhem!
Sunstreaker,Autobot,"Speed, Combat skills, Ego",Sports Car,https://tfwiki.net/mediawiki/images2/a/aa/Sunstreaker-IDW-Guidi.jpg,"Sunstreaker is one of the most vain and egotistical Autobots. His speed and combat skills are matched only by his obsession with his appearance. Despite his arrogance, he is a formidable fighter, and his confidence can be inspiring to others when the chips are down.","I don't just fight well, I fight with style!"
Red Alert,Autobot,"Security, Combat skills",Fire Chief's Car,https://tfwiki.net/mediawiki/images2/8/8b/G1_RedAlert_profileart1.jpg,"Red Alert is the Autobot's head of security, constantly on high alert for any Decepticon threat. His paranoid and overly cautious nature can sometimes be a hindrance, but it also keeps the Autobots safe from sneak attacks. His dedication to security makes him highly valued by Optimus Prime.",You can never be too careful!
Windcharger,Autobot,"Magnetic manipulation, Speed",Sports Car,https://tfwiki.net/mediawiki/images2/5/50/WindchargerTFU.jpg,"Windcharger possesses the ability to control magnetic fields, allowing him to move metal objects with ease. His speed and agility make him a quick responder in battle, though his impulsiveness sometimes gets him into trouble. He is a loyal and dependable ally on the battlefield.",Magnetic personality? I've got that covered!
Warpath,Autobot,"Explosive firepower, Combat skills",Tank,https://tfwiki.net/mediawiki/images2/c/c5/Warpathg1.jpg,"Warpath is a brash and loud-mouthed Autobot who loves nothing more than blowing things up. As a tank, he's equipped with heavy artillery and isn't afraid to use it. His explosive personality matches his firepower, and he's always looking for a fight.",BOOM! That's how it's done!
Rodimus Prime,Autobot,"Leadership, Strength, Wisdom",Cybertronian Truck,https://tfwiki.net/mediawiki/images2/d/d1/RodimusLegends.jpg,"When Hot Rod became Rodimus Prime, he inherited the Matrix of Leadership and transformed into a wise and capable leader. Though he struggles with self-doubt, Rodimus Prime learns to lead the Autobots with courage and wisdom, carrying on Optimus Prime's legacy.","The burden of leadership is heavy, but the future depends on it."
Broadside,Autobot,"Triple Changer, Strength, Naval combat",Aircraft Carrier/Jet,https://tfwiki.net/mediawiki/images2/d/df/DW_G1Broadside.jpg,"Broadside is a Triple Changer who can transform into both a jet and an aircraft carrier. He excels in naval and aerial combat, making him a versatile warrior. Despite his formidable abilities, Broadside sometimes struggles with motion sickness, but his loyalty to the Autobot cause remains unwavering.","I may get seasick, but I never back down from a fight!"
Punch,Autobot,"Espionage, Disguise, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/7/7a/G1_PunchCounterpunch_art.jpg,"Punch is a master of espionage, capable of infiltrating Decepticon ranks under the alias Counterpunch. His dual identity allows him to gather intelligence and sabotage the enemy from within. Punch's constant double life is mentally taxing, but his loyalty to the Autobot cause drives him to continue the dangerous work.","I walk a fine line between two worlds, but it's all for the Autobot cause."
Barricade,Decepticon,"Stealth, Tactical skills, Combat prowess",Police Car,https://tfwiki.net/mediawiki/images2/4/4b/MovieBarricade.jpg,"Barricade is a Decepticon who transforms into a police car. He is known for his stealth and tactical abilities, often using deception to ambush Autobots. Barricade is ruthless in his methods and will do whatever it takes to complete his mission, showcasing a darker side of law enforcement.",To punish and enslave is my ultimate goal.
Metroplex,Autobot,"City-scale transformation, Immense strength",Autobot City,https://tfwiki.net/mediawiki/images2/e/e5/SpotlightMetroplex-Metroplex.jpg,"Metroplex is a massive Autobot who can transform into a city. He serves as a living fortress for the Autobots, offering shelter and protection in times of need. Despite his enormous size, Metroplex is gentle and kind-hearted, always putting the safety of his allies first.","I am the protector of the Autobots, and I will stand as their shield."
Beachcomber,Autobot,"Environmental skills, Tracking",Dune Buggy,https://tfwiki.net/mediawiki/images2/1/14/POTP-Beachcomber-art-transparent.jpg,"Beachcomber is a peaceful and environmentally conscious Autobot who prefers exploring nature to fighting. He has a deep connection to the Earth and often serves as a scout in desert environments. Despite his pacifist tendencies, Beachcomber will fight to defend his friends.","I'm just here for the scenery, man."
Sludge,Autobot,"Strength, Combat skills, Durability",Brontosaurus,https://tfwiki.net/mediawiki/images2/2/26/Sludgeg1.jpg,"Sludge is a lumbering Dinobot who transforms into a massive Brontosaurus. He is not the brightest Autobot, but his immense strength makes up for his lack of intellect. Sludge is fiercely loyal to his fellow Dinobots and always eager to prove his worth in battle.","Me Sludge no smart, but me strong!"
Beta,Autobot,"Leadership, Combat skills, Strategy",Cybertronian Starship,,"Beta is a warrior leader from Cybertron's ancient past, serving alongside Alpha Trion. She is a brave and skilled fighter, with a deep sense of responsibility to her people. Beta's tactical mind and determination make her a formidable leader, even in the most dire situations.","The battle may be long, but we fight for a future worth saving."
Silverbolt,Autobot,"Aerial combat, Leadership",Concorde Jet,https://tfwiki.net/mediawiki/images2/d/d4/G1_Silverbolt_cartoon.jpg,"Silverbolt is the leader of the Aerialbots, a group of Autobot flyers. He transforms into a supersonic Concorde jet and is known for his bravery and leadership. However, Silverbolt harbors a secret fear of heights, which he overcomes to lead his team in aerial combat with a calm and thoughtful demeanor.","Courage isn't the absence of fear, it's the will to move forward despite it."
Air Raid,Autobot,"Aerial combat, Agility, Speed",F-15 Fighter Jet,https://tfwiki.net/mediawiki/images2/e/e6/TFU_Air_Raid.jpg,"Air Raid is a reckless and daring Aerialbot who thrives on the thrill of combat. He transforms into a fast and maneuverable F-15 jet and loves engaging Decepticons in dogfights. Air Raid's fearlessness can sometimes lead to impulsive decisions, but his loyalty to his fellow Aerialbots is unwavering.",Why fly safe when you can fly fast?
Skydive,Autobot,"Aerial combat, Tactics, Intelligence",F-16 Fighter Jet,https://tfwiki.net/mediawiki/images2/7/7e/TFU_Skydive.jpg,"Skydive is the tactical genius of the Aerialbots, always thinking several moves ahead in battle. He transforms into an F-16 fighter jet and prefers to rely on strategy and precision rather than brute force. Skydive's intelligence makes him a valuable asset, and his calm demeanor helps keep his team focused in chaotic situations.",The best victories are won before the battle even begins.
Blades,Autobot,"Flight, Combat skills, Rescue operations",Rescue Helicopter,https://tfwiki.net/mediawiki/images2/c/c9/Blades-mtmte-unpublished.jpg,"Blades is the tough and aggressive Protectobot who transforms into a rescue helicopter. Despite his role as a rescue operative, Blades prefers combat and often seeks out opportunities to engage the Decepticons in battle. His fearless nature sometimes leads him to be overly confrontational, but his loyalty to his team is unwavering.","I'm here to rescue, but don't think I won't fight back!"
Shockwave,Decepticon,"Loyalty, Tactical skills, Firepower",Cybertronian Gun,https://tfwiki.net/mediawiki/images2/thumb/2/26/ShockwaveDOTMgamepromo.jpg/564px-ShockwaveDOTMgamepromo.jpg,"Shockwave is the cold and logical Decepticon scientist who transforms into a large gun. He is known for his ruthless efficiency and commitment to logic over emotion. Shockwave often conducts experiments and develops advanced weaponry for the Decepticon cause, showing no mercy to those who oppose him.","One shall stand, one shall fall."
Bonecrusher,Decepticon,"Strength, Combat skills, Destruction",Armored Vehicle,https://tfwiki.net/mediawiki/images2/5/50/TFLegendsApp-Bonecrusher.jpg,"Bonecrusher is a savage Decepticon who transforms into an armored vehicle. He is known for his brute strength and destructive capabilities, often charging into battle with little regard for his safety. Bonecrusher enjoys causing chaos and destruction, making him a fearsome opponent.",I'll crush anything in my way!
Arcee,Autobot,"Agility, Combat skills",Motorcycle,https://tfwiki.net/mediawiki/images2/thumb/4/41/Arcee_es.JPG/667px-Arcee_es.JPG,"Arcee is one of the most skilled and agile warriors among the Autobots. She excels in close combat and has a quick-thinking mind that makes her a fierce fighter. Though she's compassionate, she's also tough and not afraid to take charge when necessary.",Let's get it done!
Frenzy,Decepticon,"Sound manipulation, Combat skills, Agility",Cassette,https://tfwiki.net/mediawiki/images2/8/8e/Movie_frenzy.png,"Frenzy is a Decepticon who transforms into a cassette tape, known for his agility and ability to manipulate sound waves. He is often seen as Rumble's partner in crime, using his small size to his advantage in combat situations. Frenzy is unpredictable and always eager to engage in battle.",Can't catch me! I'm too fast for you!
